id,medicine_name,expiration_date,over_the_counter,chemical_compound,drug_interactions,additional_info
1,Aspirin,2024-05-01,false,Acetylsalicylic Acid,Warfarin;Ibuprofen;Naproxen,"Pregnant women should consult a doctor."
2,Paracetamol,2023-12-15,true,Acetaminophen,Alcohol;Warfarin,"Avoid alcohol consumption with this medicine."
3,Lisinopril,2024-08-20,false,Lisinopril,Aliskiren;Lithium,"Not recommended during pregnancy."
4,Simvastatin,2024-10-30,false,Simvastatin,Grapefruit juice;Amiodarone,"Avoid grapefruit juice while taking this medication."
5,Cetirizine,2024-06-25,true,Cetirizine hydrochloride,Alcohol;CNS depressants,"May cause drowsiness, avoid driving."
6,Omeprazole,2024-09-12,false,Omeprazole,Clopidogrel;Ketoconazole,"Take on an empty stomach."
7,Metformin,2024-11-05,false,Metformin hydrochloride,Cimetidine;Furosemide,"Monitor kidney function regularly."
8,Amoxicillin,2024-10-10,false,Amoxicillin,Probenecid;Methotrexate,"Complete the full course as prescribed."
9,Atorvastatin,2024-07-18,false,Atorvastatin,Grapefruit juice;Cyclosporine,"Report any muscle pain or weakness."
10,Diphenhydramine,2024-04-30,true,Diphenhydramine,Alcohol;MAOIs,"May cause drowsiness, avoid operating heavy machinery."
11,Ibuprofen,2024-09-22,true,Ibuprofen,Ibuprofen;Warfarin,"Take with food or milk to reduce stomach upset."
12,Ranitidine,2024-02-15,true,Ranitidine,Rivaroxaban;Procainamide,"Contact a doctor if symptoms persist."
13,Levothyroxine,2024-08-08,false,Levothyroxine sodium,Calcium supplements;Antacids,"Take on an empty stomach in the morning."
14,Clopidogrel,2024-12-01,false,Clopidogrel,Bleeding disorders;NSAIDs,"Inform your doctor before any surgical procedure."
15,Loratadine,2024-05-10,true,Loratadine,Alcohol;Cimetidine,"May be taken with or without food."
16,Cephalexin,2025-11-28,false,Cephalexin,Probenecid;Methotrexate,"Complete the full course as prescribed."
17,Sertraline,2024-09-30,false,Sertraline hydrochloride,MAOIs;NSAIDs,"May take several weeks for full effect."
18,Diazepam,2024-10-15,false,Diazepam,Alcohol;CNS depressants,"Avoid alcohol during treatment."
19,Naproxen,2024-06-12,true,Naproxen,Sertraline;Lisinopril,"Take with food or milk to reduce stomach upset."
20,Metoprolol,2023-12-20,false,Metoprolol tartrate,Verapamil;Cimetidine,"Do not stop abruptly, consult your doctor."
21,Fluoxetine,2024-07-05,false,Fluoxetine hydrochloride,MAOIs;Thioridazine,"May cause drowsiness, avoid driving."
22,Losartan,2025-10-28,false,Losartan potassium,Lithium;Potassium supplements,"Monitor blood pressure regularly."
23,Citalopram,2024-04-15,false,Citalopram hydrobromide,MAOIs;Pimozide,"Report any unusual bleeding or bruising."
24,Gabapentin,2024-09-18,false,Gabapentin,Alcohol;Morphine,"May cause drowsiness, avoid driving."
25,Tadalafil,2025-11-10,false,Tadalafil,Nitrates;Riociguat,"Seek medical attention for prolonged erection."
26,Alprazolam,2024-07-22,false,Alprazolam,Alcohol;CNS depressants,"Avoid grapefruit juice during treatment."
27,Methotrexate,2023-12-05,false,Methotrexate,Probenecid;NSAIDs,"Avoid alcohol during treatment."
28,Furosemide,2024-06-30,false,Furosemide,Lithium;Digoxin,"Monitor electrolyte levels regularly."
29,Bupropion,2024-01-08,false,Bupropion hydrochloride,MAOIs;Thioridazine,"May cause seizures, use caution."
30,Venlafaxine,2024-10-01,false,Venlafaxine hydrochloride,MAOIs;Lithium,"Report any changes in mood or behavior."
31,Warfarin,2024-08-15,false,Warfarin sodium,Aspirin;Ciprofloxacin,"Regular monitoring of INR levels is essential."
32,Hydrochlorothiazide,2025-11-18,false,Hydrochlorothiazide,Lithium;Digoxin,"Avoid excessive sun exposure."
